Timepoint,Track1 ID,Track2 ID,Peak1 ID,Peak2 ID,Peak1 pos (px),Peak2 pos (px),Displacement1 (px),Displacement2 (px),Initial separation (px),R2,Intercept
15,2,2,48,48,14.839694571914436,14.190508798560492,0.2462303064509701,-1.2771053288800367,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
16,2,2,51,51,14.780780638045028,14.210502261808763,0.18731637258156297,-1.2571118656317655,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
17,2,2,53,54,14.740881722942351,14.224596940248373,0.1474174574788858,-1.2430171871921551,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
18,2,2,56,57,14.75171588990533,14.328221725538517,0.15825162444186525,-1.1393924019020112,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
19,2,2,59,60,14.714284435552269,14.56129840164556,0.12082017008880364,-0.9063157257949683,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
20,2,2,63,63,14.600626007593728,14.791716238642794,0.0071617421302629936,-0.6758978887977349,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
21,2,2,65,66,14.472059364519772,14.914029450728185,-0.12140490094369305,-0.5535846767123438,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
22,2,2,68,69,14.328167111745751,14.699795952248534,-0.26529715371771445,-0.7678181751919944,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
23,2,2,71,72,14.294787074002098,14.246854890530546,-0.2986771914613673,-1.2207592369099824,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
24,2,2,74,75,14.354846824823007,13.841879940170742,-0.23861744064045887,-1.6257341872697868,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
25,2,2,77,78,14.438386512919585,13.62194204732468,-0.15507775254388,-1.8456720801158486,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
26,2,2,80,81,14.640338324030045,13.613449622361717,0.04687405856657989,-1.8541645050788116,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
27,2,2,84,84,14.960210427527707,13.571001989703129,0.36674616206424204,-1.8966121377373995,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
28,2,2,87,87,15.190808214597078,13.521681796078308,0.597343949133613,-1.9459323313622203,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
29,2,2,90,90,15.179288043254639,13.445648149568743,0.5858237777911732,-2.021965977871785,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
30,2,2,93,93,15.004461119990964,13.309422551951565,0.41099685452749846,-2.1581915754889636,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
31,2,2,96,96,14.834927970367868,13.228402190907067,0.24146370490440283,-2.2392119365334615,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
32,2,2,99,99,14.71581274462693,13.256951837188229,0.12234847916346503,-2.2106622902522997,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
33,2,2,102,101,14.576161553926738,13.32972246097646,-0.017302711536727244,-2.1378916664640677,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
34,2,2,105,104,14.456350464975365,13.400340279429704,-0.13711380048810007,-2.0672738480108244,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
35,2,2,108,107,14.412333220213513,13.538943259843293,-0.18113104524995194,-1.9286708675972353,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
36,2,2,111,110,14.413370817852256,13.741151984539576,-0.1800934476112097,-1.726462142900953,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
37,2,2,114,113,14.453056621158373,13.978081376568644,-0.14040764430509256,-1.4895327508718843,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
0,3,3,3,3,136.4049906631715,136.82829810770363,0.0,0.0,0.4233074445321279,0.9624279339276353,-0.4575072618765812
1,3,3,6,6,136.29493907213498,136.86439168511973,-0.11005159103652318,0.03609357741609642,0.4233074445321279,0.9624279339276353,-0.4575072618765812
2,3,3,9,9,136.2100270478396,136.9295684913862,-0.19496361533191475,0.1012703836825608,0.4233074445321279,0.9624279339276353,-0.4575072618765812
3,3,3,12,12,136.24567810514523,136.9407076791164,-0.1593125580262722,0.11240957141276908,0.4233074445321279,0.9624279339276353,-0.4575072618765812
